id,age_group,color,infected_date,expired_date
Mu4y94X9QNg5/qSXDENxw6,[1],purple,2012-03-26,2012-03-30
O.Xc7wXHGj2LZdRGUrUkdk,[1],blue,2012-03-26,2012-04-09
E4gR8gkWqFMnzAKe5igcJg,[1],blue,2012-03-26,2012-03-27
rciNmSpV9hc1UeMJt25UwQ,[2],blue,2012-03-26,2012-04-22
YpGJxworOOYytTbm/dqoCM,[1],blue,2012-03-26,2012-04-08
sI1wuMNkKuolQNgCLvpDeA,[1],blue,2012-03-26,2012-04-22
bk01pPDncoECAP/9jfL73U,[2],purple,2012-03-26,2012-03-28
I5SJgn90z0Ak1qnRy9jhZE,[1],purple,2012-03-26,2012-03-30
KnEfXPzu.KUSaolUKFpsXo,[1],blue,2012-03-26,2012-04-22
14FRB06uBQYunWW/RJw6C.,[2],blue,2012-03-26,2012-04-05
mmov2hj6jtcDT.i0JC5l8E,[1],purple,2012-03-26,2012-03-29
F/Z.4MpVj.2RTjyvaZh4G2,[0],purple,2012-03-26,2012-03-31
.Z9C0zsfMyk82x5w0t9HzM,[1],blue,2012-03-26,2012-04-19
QEucVbsB50EAPDZhiVZk02,[0],purple,2012-03-26,2012-03-30
.Xg5e476x.scKo5HhikSkg,[1],blue,2012-03-26,2012-04-18
/QxGlzPFNKsl.M7d3iXLMY,[0],purple,2012-03-26,2012-04-01
xDafK.1A1egi.OrYauODhU,[2],blue,2012-03-27,2012-04-14
.Z9C0zsfMyk82x5w0t9HzM,[1],purple,2012-03-27,2012-04-03
rciNmSpV9hc1UeMJt25UwQ,[2],blue,2012-03-27,2012-04-12
QEucVbsB50EAPDZhiVZk02,[1],purple,2012-03-27,2012-03-29
M3KtqxzH0mAHNqwZBgzjMA,[1],blue,2012-03-27,2012-04-05
/QxGlzPFNKsl.M7d3iXLMY,[2],blue,2012-03-27,2012-04-10
Eokrnb0JNyoFRJapuwByDA,[2],blue,2012-03-27,2012-05-04
aJ0i9TAWr4QtedvWPfy0gs,[1],purple,2012-03-27,2012-04-03
J56bbMWuuX.35hk6sy9F56,[1],blue,2012-03-27,2012-03-30
4dzTnD3gels9FJEyaay/Vg,[1],blue,2012-03-27,2012-04-08
7pWBJjZ2IZ6qsAtaQFs/Ts,[2],blue,2012-03-27,2012-04-11
D5t6spMNUJsBovsdT5GgQw,[2],blue,2012-03-27,2012-04-25
pt8uZezNrmUArvBDgcFyzo,[2],blue,2012-03-27,2012-04-15
Sr9VT2dXhgUwo7XK0mIddQ,[1],blue,2012-03-27,2012-04-14
IVQLrM9Fh4gtg17WYU5fcI,[2],blue,2012-03-27,2012-04-18
L779gq7Hd6MVcnMBjj7D2o,[2],purple,2012-03-27,2012-04-02
cMvEW1y.DLUsMgtP951/f.,[0],blue,2012-03-27,2012-04-14
bk01pPDncoECAP/9jfL73U,[1],purple,2012-03-27,2012-03-31
oqGPa2AlKZE/VdR7.9k8g6,[1],blue,2012-03-27,2012-04-07
KnEfXPzu.KUSaolUKFpsXo,[1],blue,2012-03-27,2012-04-21
FEvBjAThwq6.UyCDhjj/tc,[1],blue,2012-03-27,2012-04-26
4uTQPuSA6Vc4uTQPuSA6Vc,[2],blue,2012-03-27,2012-03-28
a6RLYbnNEvQB4sEp2AIAN6,[2],blue,2012-03-27,2012-04-07
